Leetcode Id	Name	Difficulty	Frequency	Link	Hardness rating	Answer	Complexity
1249	Minimum Remove to Make Valid Parentheses	Medium	100.00%	https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses/description/	1	Stack - keep track of unmatching )'s index and print	N space
314	Binary Tree Vertical Order Traversal	Medium	95.00%	https://leetcode.com/problems/binary-tree-vertical-order-traversal/description/	1	BFS with col n print. DFS to give col, row numbers, heapq (col, row, val), map to group them by col + print.	N time N space
1650	Lowest Common Ancestor of a Binary Tree III [Parent]	Medium	95.00%	https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii/description/	1	Variation, if parent is None, flip it to other head	1 space
160	Intersection of Two Linked Lists	Medium	95.00%	https://leetcode.com/problems/intersection-of-two-linked-lists/description/	1	a+c+b = b+c+a	1 space
1650	Lowest Common Ancestor of a Binary Tree II [p/q might not exist]	Medium	95.00%	https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-ii/	7	If p/q exist return none or p or q. If it doesn't exisit -> recursive call and then check node is p or q. Record p/q isFound. Becauze if p is found it returns and q won't reach if its the subtree of p	N space
1762	Buildings With an Ocean View	Medium	95.00%	https://leetcode.com/problems/buildings-with-an-ocean-view/description/	1	Go right to left. Track max	1 space
227	Basic Calculator II	Medium	85.00%	https://leetcode.com/problems/basic-calculator-ii/	7	Track prev_int, prev_opt, curr_int. Accumulate */, prev_opt +-. Append + to s for easy for loop	1 space
339	Nested List Weight Sum	Medium	85.00%	https://leetcode.com/problems/nested-list-weight-sum/description/	1	BFS store depth n calc weighted sum - simple	N space
528	Random Pick with Weight	Medium	85.00%	https://leetcode.com/problems/random-pick-with-weight/description/	2	Store prefix sum - sorted array, binary search rand+totalsum	N space
1570	Dot Product of Two Sparse Vectors	Medium	85.00%	https://leetcode.com/problems/dot-product-of-two-sparse-vectors/description/	1	Store non zero indices of 2 arrays, 2 ptr n multiple matching indices	N space
50	Pow(x, n)	Medium	75.00%	https://leetcode.com/problems/powx-n/description/	3	Binary exponent, use iteration x=1/x n=-1*n for -n. 2^15 -> 2.(4.4)^7. while n//2 != 0	1 space
71	Simplify Path: Unix-style file system	Medium	75.00%	https://leetcode.com/problems/simplify-path/description/	2	Split by /, rev, skip++ for .., if legit skip-- or add. Note: trailing /	1 space
215	Kth Largest Element in an Array	Medium	75.00%	https://leetcode.com/problems/kth-largest-element-in-an-array/description/	2	Counting sort too! Bounder heapq like topk. Quick select will give better avg complixity for higher worst case. By choosing pivot using median of median algo, worst case will come down to n. Probability (2^n/n!) - each iter gets exponentially low. Just make sure its not the largest or smallest element.	nlogk, n, n^2, m. Space k, 1, m
236	Lowest Common Ancestor of a Binary Tree [Simple]	Medium	75.00%	https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/description/	2	return node if None or p or q. l and r => n else l or r.	N space
791	Custom Sort String	Medium	75.00%	https://leetcode.com/problems/custom-sort-string/description/	2	Counting sort. Simplify. Map of counter(s), order[c] * count(c) -> result. Del count(c) from dict to not re-add	N space
921	Minimum Add to Make Parentheses Valid	Medium	75.00%	https://leetcode.com/problems/minimum-add-to-make-parentheses-valid/	1	Easy just use a counter to track ( and match it with ), if openCounter < 1, minRequired++. Use counter since only one type of bracket, else use stack	1 space
1091	Shortest Path in Binary Matrix	Medium	75.00%	https://leetcode.com/problems/shortest-path-in-binary-matrix/	2	BFS - Lattice Graph - A* for bonus. Queue (r,c,dist)	N space
56	Merge Intervals	Medium	65.00%	https://leetcode.com/problems/merge-intervals/	1	Elegant technique to handle -1 index. sort n merge	1 space
129	Sum Root to Leaf Numbers	Medium	65.00%	https://leetcode.com/problems/sum-root-to-leaf-numbers/description/	2	Global var for result. Preorder(node, num=0), when node is None, res += num	H space
162	Find Peak Element	Medium	65.00%	https://leetcode.com/problems/find-peak-element/description/	5	Binary search - see sol. if mid > mid+1 (peak) : r=mid else l=mid+1. mid and mid+1 are the candidates	logn time, 1 space
199	Binary Tree Right Side View	Medium	65.00%	https://leetcode.com/problems/binary-tree-right-side-view/description/	2	Queue (node + depth), print only right for each depth. if len(res) is depth actually	N space
973	K Closest Points to Origin [R-Quick select]	Medium	65.00%	https://leetcode.com/problems/k-closest-points-to-origin/description/	4	Topk, quickselect => swap instead of partition. Beautiful - read comments	N time, 1 space
249	Group Shifted Strings	Medium	65.00%	https://leetcode.com/problems/group-shifted-strings/description/	3	Group string with same char offsets (use modulo). (1, 1): ['abc', 'bcd', 'xyz']	N space
426	Convert Binary Search Tree to Sorted Doubly Linked List	Medium	65.00%	https://leetcode.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list/description/	4	Have a global var to track prev node, store the next bst node in that and move the ptr	N space
523	Continuous Subarray Sum (sub is a multiple of 2)	Medium	65.00%	https://leetcode.com/problems/continuous-subarray-sum/description/	7	Mathemetricall (R1 - R2) is divisible by k then yes. prefixSum[i] % k == prefixSum[j] % k then return True. Store prefixSum % k,index in hashmap	N space
560	Subarray Sum Equals K	Medium	65.00%	https://leetcode.com/problems/subarray-sum-equals-k/description/	6	Store count of same prefix. if diff in dict, count += val	N space
708	Insert into a Sorted Circular Linked List	Medium	65.00%	https://leetcode.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list/description/	6	prev, curr pointer. Track head and tail and insert at the end if can't insert in middle. 3 cases (mid, end, uniform values)	1 space
31	Next Permutation	Medium	55.00%	https://leetcode.com/problems/next-permutation/description/	8	Find first peak from right. Swap p-1 with slightly higher right to peak, reverse p to end. No way!	1 space
138	Copy List with Random Pointer	Medium	55.00%	https://leetcode.com/problems/copy-list-with-random-pointer/description/	6	3 pass. Beautiful list weaving. Light weaver Shallan. Interleave new node, set randpointer, delete old nodes	1 space
146	LRU Cache	Medium	55.00%	https://leetcode.com/problems/lru-cache/description/	3	OrderedDict().move_to_end, pop_item(False). Or use doubly linked list	N space
173	Binary Search Tree Iterator	Medium	55.00%	https://leetcode.com/problems/binary-search-tree-iterator/description/	8	Iter requires pause + resume. So we need to simulate func recursion. Push all left subtree into stack on init(). Stack top is always the smallest. On next pop() and return but also push node.right's left subtree into stack.	Amortized 1 time (each node is pushed/popped once. So 2n times. But next is called n times to remove so 2n/2 = 2), H space
347	Top K Frequent Elements	Medium	55.00%	https://leetcode.com/problems/top-k-frequent-elements/	2	Lomuto's Partition Scheme + Quick select on freq parallel array	k=n-k for quick select since its largest k
498	Diagonal Traverse	Medium	55.00%	https://leetcode.com/problems/diagonal-traverse/description/	1	Simple traversal, care out of bounds. While r and c in bound	1 space
670	Maximum Swap [Inverse of meta round 1]	Medium	55.00%	https://leetcode.com/problems/maximum-swap/description/	5	Best!. Last swap all we need, r->l. Counting sort to keep last seen idx. Replace soFarMax elem with left small elem	1 space
986	Interval List Intersections	Medium	55.00%	https://leetcode.com/problems/interval-list-intersections/description/	1	2 pts merge only intersections	1 space
200	Number of Islands	Medium	45.00%	https://leetcode.com/problems/number-of-islands/description/	1	For cell -> dfs. Regular	mxn space
253	Meeting Rooms II [Minimum meeting rooms req]	Medium	45.00%	https://leetcode.com/problems/meeting-rooms-ii/description/	2	Sort by start time, end time in heap. Conflct? Push new end time, else pop + push new end time. len(heap) == num rooms	nlogn time, n space
348	Design Tic-Tac-Toe	Medium	45.00%	https://leetcode.com/problems/design-tic-tac-toe/description/	3	O(1). Track num times a row/col/dig/anti_dig is filled by player. Win when times=n	1 time, r + c space
398	Random Pick Index [with duplicate values, so count determines prob]	Medium	45.00%	https://leetcode.com/problems/random-pick-index/	3	dict(num, indicesList). d[target][rand.next(lenIndicesList)]	1 time, n space
529	Minesweeper	Medium	45.00%	https://leetcode.com/problems/minesweeper/description/	1	dfs	N space
636	Exclusive Time of Functions [function calls]	Medium	45.00%	https://leetcode.com/problems/exclusive-time-of-functions/description/	6	track prevTime, [exclusiveTimes]. if start: push, end: pop and exclusiveTime++, if double start: update exclusiveTime of curr and push	N space
721	Accounts Merge [Merge emails of a name]	Medium	45.00%	https://leetcode.com/problems/accounts-merge/	3	Connected components + DFS. Or union find disjoinset (longer see sol). 2 dict (email->name, adjlist). Names can have duplicates	nklognk time, nk space where k is length of acc
863	All Nodes Distance K in Binary Tree	Medium	45.00%	https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree/	5	Convert tree to graph buildGraph(curr, parent) n run bfs	N time, N space
1004	Max Consecutive Ones III	Medium	45.00%	https://leetcode.com/problems/max-consecutive-ones-iii/	8	Beautiful sliding window. k tracks 0s. Expand if k>0, contract n move if k<0. Regain k if left is 0	1 space
1891	Cutting Ribbons [Can u cut into k ribbons]	Medium	45.00%	https://leetcode.com/problems/cutting-ribbons/description/	4	Range(0, maxRibbonLen) and binary search each length - check if possible by looping through all ribbons. Length is inversely prop to pieces	nlogm time where m is maxRibbonLen, 1 space
15	3Sum [no dupilicates in sol]	Medium	35.00%	https://leetcode.com/problems/3sum/description/	3	Sort + 2 pts. For each i lo=i+1,hi=len-1. Skip conseq duplicates by lo+1. N^2 loop, check for complement is hashset.	n^2 time, 1 space
34	Find First and Last Position of Element in Sorted Array	Medium	35.00%	https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array	2	2 binary search upperBound, lowerBound. if mid==target: check for mid-1 if lowerBound and check for mid+1 if upperBound.	logn time, 1 space
38	Count and Say [recursive call RLE]	Medium	35.00%	https://leetcode.com/problems/count-and-say	2	Recursive call right after base (head recursion) and then return the RLE of curr. 	4^n/3 time, 4^n/3 space
78	Subsets [All permutations power set]	Medium	35.00%	https://leetcode.com/problems/subsets	4	Permutations - backtrack. Add curr to result, curr=curr+next backtrack(i+1)	nx2^n time, n space
133	Clone Graph	Medium	35.00%	https://leetcode.com/problems/clone-graph/description/	3	Nice. BFS. Store clone in visited dict	n time, n space
139	Word Break [dp/ trie]	Medium	35.00%	https://leetcode.com/problems/word-break	7	Nice n easy dp. len(opt)=len(s) and each idx is T/F for each substring from start. For Trie, if curr idx is Trie word, mark as T in opt. Repeat the same for next i if dp[i-1] is T	m*n*k time, n space. Trie with dp give m*n
304	Range Sum Query 2D - Immutable [Matrix sum within submat]	Medium	35.00%	https://leetcode.com/problems/range-sum-query-2d-immutable	5	Matrix cummulative sum. Sum(ABCD)=Sum(OD)−Sum(OB)−Sum(OC)+Sum(OA)	n*m space
311	Sparse Matrix Multiplication	Medium	35.00%	https://leetcode.com/problems/sparse-matrix-multiplication	2	compressMatrix[row] = (val, col) if val != 0. For each rowIdx of MatA  -> (val, colA) of compressMatA[rowA] -> for (val2, colB) of comMatB[colA] -> res[rowA][colB] += val1*val2	m*n*k time, n*k space
378	Kth Smallest Element in a Sorted Matrix	Medium	35.00%	https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/description/	7	Matrix binary search **. bottom left to top right.	n log (max-min) time, 1 space
515	Find Largest Value in Each Tree Row	Medium	35.00%	https://leetcode.com/problems/find-largest-value-in-each-tree-row	2	inorder(node, depth). res[depth] = max	n space
536	Construct Binary Tree from String [parenthesis string with neg nums]	Medium	35.00%	https://leetcode.com/problems/construct-binary-tree-from-string	5	if ( and num => push(num). if ) and num => assign num to top(left or right). if ) and not num pop and assign	H space
